"android.widget.RelativeLayout","java.lang.Object","android.util.Log","java.lang.Boolean","android.webkit.WebSettings","java.lang.String","android.view.View","android.webkit.WebView","android.widget.ImageView","android.widget.TextView","android.os.Handler","android.text.TextUtils","java.util.TimeZone","android.webkit.WebViewClient","android.os.Looper","android.media.AudioManager","java.lang.Math","android.os.Bundle","java.util.Collections","android.widget.FrameLayout","android.content.Context","android.graphics.Rect","java.lang.Class","android.view.ViewGroup","android.app.Application","java.lang.StringBuilder","android.media.MediaPlayer","java.util.ArrayList","java.util.Date","java.util.HashMap","android.net.Uri","org.json.JSONObject","java.lang.Integer","android.view.Display","java.lang.Long","java.util.HashSet","android.webkit.WebChromeClient","java.net.URL","java.util.Arrays","java.lang.Double","android.graphics.Point","java.io.OutputStreamWriter","java.io.InputStreamReader","android.view.LayoutInflater","android.database.sqlite.SQLiteDatabase","java.io.File","java.lang.Number","android.app.NotificationChannel","android.content.ContentValues","android.widget.RatingBar","android.os.Process","android.os.Parcel","android.widget.ProgressBar","android.app.Activity","android.graphics.drawable.BitmapDrawable","java.util.concurrent.atomic.AtomicInteger","android.webkit.JsResult","java.io.BufferedReader","java.io.FileOutputStream","android.os.SystemClock","android.widget.LinearLayout","java.util.LinkedList","java.lang.reflect.Method","dalvik.system.DexClassLoader","java.security.KeyStore","java.security.SecureRandom","java.util.ArrayDeque","java.nio.charset.Charset","android.widget.VideoView","java.util.concurrent.atomic.AtomicReference","java.lang.System","java.net.URLDecoder","android.view.SurfaceView","org.json.JSONArray","android.net.NetworkInfo","java.util.regex.Pattern","java.util.UUID","java.lang.Thread","android.content.res.Resources","android.view.Surface","java.util.Locale","android.content.IntentFilter","java.lang.Character","android.app.AlertDialog","android.webkit.ConsoleMessage","android.view.ViewTreeObserver","java.util.regex.Matcher","java.io.ByteArrayOutputStream","java.lang.reflect.Field","javax.net.ssl.SSLContext","java.lang.Enum","android.app.Fragment","android.content.pm.PackageManager","android.content.ClipboardManager","java.util.concurrent.ThreadPoolExecutor","android.view.KeyEvent","java.lang.Float","java.security.cert.CertificateFactory","android.preference.PreferenceManager","android.content.ContentResolver","android.view.MotionEvent","android.content.res.AssetManager","java.lang.Throwable","android.content.Intent","java.lang.StackTraceElement","android.app.FragmentManager","java.lang.ref.WeakReference","java.util.concurrent.Executors","android.database.sqlite.SQLiteOpenHelper","java.nio.CharBuffer","android.database.ContentObserver","android.app.IntentService","android.content.pm.Signature","java.io.OutputStream","java.io.FileInputStream","java.util.Vector","android.view.TextureView","java.util.concurrent.ConcurrentHashMap","android.telephony.TelephonyManager","android.os.Environment","android.app.PendingIntent","android.graphics.Bitmap","java.io.ObjectOutputStream","java.net.HttpURLConnection","java.util.TreeMap","java.util.concurrent.ConcurrentLinkedQueue","java.util.LinkedHashMap","android.widget.Button","android.util.Base64","android.content.BroadcastReceiver","javax.net.ssl.TrustManagerFactory","java.util.logging.Logger","javax.net.ssl.HttpsURLConnection","android.graphics.RectF","android.content.ClipData","android.util.Pair","android.graphics.drawable.Drawable","java.text.SimpleDateFormat","java.util.EnumSet","android.util.SparseArray","android.view.Window","java.io.InputStream","javax.crypto.spec.IvParameterSpec","java.util.concurrent.CopyOnWriteArraySet","android.graphics.Paint","android.webkit.CookieSyncManager","android.content.res.TypedArray","android.app.NotificationManager","android.app.FragmentTransaction","java.io.StringWriter","android.content.MutableContextWrapper","java.util.concurrent.CountDownLatch","java.util.IdentityHashMap","java.net.URLEncoder","java.math.BigDecimal","android.net.ConnectivityManager","org.apache.http.params.HttpConnectionParams","android.app.KeyguardManager","android.view.animation.AlphaAnimation","android.net.wifi.WifiInfo","java.lang.StringBuffer","android.app.ActivityManager","java.io.BufferedOutputStream","android.media.RingtoneManager","android.os.ConditionVariable","android.widget.Toast","android.os.Debug","dalvik.system.InMemoryDexClassLoader","android.app.job.JobScheduler","java.util.WeakHashMap","android.graphics.Canvas","android.view.animation.DecelerateInterpolator","java.text.DateFormat","java.util.concurrent.atomic.AtomicBoolean","android.util.DisplayMetrics","java.io.ByteArrayInputStream","java.util.zip.GZIPOutputStream","android.webkit.WebResourceResponse","java.util.EnumMap","java.io.FileReader","android.app.ProgressDialog","android.graphics.BitmapFactory","java.io.PrintStream","android.graphics.Color","android.os.Message","android.app.UiModeManager","android.app.Service","java.lang.reflect.Array","java.net.URLConnection","java.util.concurrent.LinkedBlockingQueue","java.security.MessageDigest","android.graphics.drawable.StateListDrawable","java.util.zip.GZIPInputStream","java.nio.charset.CharsetDecoder","android.webkit.WebResourceError","android.util.LruCache","android.net.wifi.WifiManager","android.os.StatFs","org.xmlpull.v1.XmlPullParserFactory","android.app.job.JobService","android.util.TypedValue","java.io.PrintWriter","android.view.animation.Animation","android.app.NotificationChannelGroup","android.os.HandlerThread","android.net.TrafficStats","java.util.TreeSet","java.lang.Runtime","java.io.StringReader","java.lang.ClassLoader","label"
"2","1","2","1","8","2","2","2","2","1","1","1","1","1","1","3","1","1","1","1","1","1","1","2","1","7","1","1","1","1","1","4","2","1","1","1","1","1","1","1","1","1","1","2","0","2","1","0","0","0","1","0","1","0","0","1","1","2","1","1","5","1","2","0","0","0","1","1","0","1","1","1","0","3","2","1","1","1","1","1","2","1","0","0","0","0","1","3","0","3","1","0","1","1","1","0","1","2","1","0","1","1","2","1","2","0","1","1","0","0","0","0","1","3","1","0","1","1","1","0","0","4","0","5","1","0","1","0","0","1","0","0","1","0","1","0","1","1","2","1","6","1","0","0","0","1","4","0","0","0","0","1","0","1","0","2","0","1","0","0","0","1","4","0","0","3","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","3","0","1","0","0","0","1","0","1","2","0","0","0","0","1","0","3","2","0","1","0","0","0","0","1","0","2","1","0","AN"
"1","1","1","4","11","2","1","1","1","3","1","1","0","1","0","0","2","2","0","1","1","2","1","2","1","7","2","1","1","2","1","0","2","2","1","1","1","2","1","0","0","0","0","1","0","2","0","0","0","0","0","5","2","1","0","1","0","0","1","0","6","1","1","0","0","0","0","0","0","0","1","0","1","0","0","2","0","0","1","0","1","1","0","1","2","1","2","5","3","0","1","1","1","0","0","0","1","0","0","0","3","0","0","2","0","2","1","0","0","0","0","0","0","2","3","0","0","0","0","1","0","1","3","0","0","0","0","1","7","1","0","0","0","0","0","0","0","2","1","2","2","2","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","16","0","0","0","0","0","0","0","AN"
"0","1","1","0","3","1","1","2","1","1","1","1","0","1","0","0","1","0","0","0","1","0","1","4","0","7","1","5","0","2","1","3","3","0","0","0","1","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","1","1","0","0","0","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AN"
"1","1","1","1","3","2","2","2","0","2","1","1","0","1","1","0","1","2","1","0","1","0","1","0","0","6","0","1","1","1","1","6","1","0","1","1","1","2","1","2","0","0","0","1","1","2","0","1","4","0","0","17","1","1","0","0","0","0","1","1","7","1","0","0","0","0","0","0","0","0","1","0","0","3","0","2","0","1","1","0","3","2","2","1","0","0","2","3","1","0","1","0","1","0","0","1","1","0","1","1","1","0","1","2","0","0","1","1","1","0","0","1","0","3","2","0","0","2","1","0","1","2","0","6","2","0","0","6","0","1","0","0","0","0","0","1","2","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","4","1","2","0","0","2","0","0","0","0","1","0","0","2","0","0","4","0","0","0","0","1","0","1","1","0","1","0","0","0","3","5","1","0","0","0","1","0","0","1","0","0","2","0","2","0","0","0","0","0","AN"
"0","1","13","1","8","2","2","2","0","0","1","1","0","1","1","0","1","0","2","1","1","2","1","1","0","7","0","1","1","1","1","6","2","1","1","4","1","1","0","5","2","3","1","0","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","1","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","2","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","0","1","1","0","0","0","1","0","1","1","2","0","0","1","1","0","0","5","2","12","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","3","1","0","2","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","8","2","2","2","0","0","1","1","0","1","1","0","1","0","2","1","1","1","1","1","0","7","0","2","1","1","1","6","2","1","1","4","1","1","0","5","2","3","1","0","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","1","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","2","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","7","0","0","1","0","1","1","0","0","0","1","0","1","1","2","0","0","1","1","0","0","5","2","12","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","3","1","0","2","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","3","6","1","1","0","1","1","0","1","0","1","1","1","2","1","1","0","7","0","1","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","1","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","3","1","0","2","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","3","6","1","1","0","1","1","0","1","0","1","1","1","2","2","1","0","7","0","1","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","3","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","1","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","3","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","1","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","3","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","1","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","2","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","2","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","2","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","2","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"0","1","13","1","6","2","2","2","6","6","1","1","0","1","1","0","1","0","2","1","1","2","2","1","0","7","0","2","1","1","1","7","2","1","1","4","1","1","0","2","2","3","1","2","0","2","0","0","0","0","0","0","1","1","0","0","1","2","7","0","0","1","2","0","0","0","0","0","1","0","1","1","0","3","1","0","0","0","1","0","2","3","2","1","3","2","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","6","0","0","1","2","1","1","0","0","0","1","0","1","1","2","3","0","1","1","0","0","5","2","11","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","3","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","0","AN"
"3","1","1","1","5","3","2","2","4","5","1","1","0","1","1","2","1","4","1","2","1","2","1","2","0","8","2","4","1","3","1","10","3","1","1","0","1","3","2","1","1","0","1","0","0","2","0","1","5","0","0","9","2","2","2","0","1","3","4","1","2","1","1","1","0","0","0","2","0","0","1","1","1","3","2","2","0","1","1","0","0","2","0","3","3","0","2","3","2","0","1","0","1","1","0","3","4","0","0","1","5","1","1","3","0","0","0","1","0","0","0","0","1","1","2","0","0","0","1","1","2","2","0","10","0","0","0","0","1","1","0","0","1","2","1","0","1","2","0","5","1","2","0","0","3","0","0","2","0","2","0","0","0","1","0","1","0","1","2","1","3","0","0","0","0","2","0","0","0","0","3","0","1","0","1","1","4","1","0","0","0","1","0","1","2","0","2","7","0","0","2","0","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","AN"
"0","1","2","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","2","0","0","11","0","1","0","1","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","AN"
"0","1","1","1","15","2","3","1","0","1","1","1","0","1","1","0","0","1","1","0","1","0","1","1","2","5","0","1","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","AN"
"1","1","5","1","2","1","3","1","1","2","1","0","0","1","1","0","1","1","1","0","1","0","0","1","0","8","0","1","2","1","1","3","1","1","2","0","1","0","4","0","1","5","5","2","0","2","0","0","0","0","0","0","1","1","0","0","1","7","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","2","5","0","2","1","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","3","5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AN"
"1","1","5","1","2","1","3","1","1","2","1","0","0","1","1","0","1","1","1","0","1","0","0","1","0","8","0","1","2","1","1","3","1","1","2","0","1","0","4","0","1","5","5","2","0","2","0","0","0","0","0","0","1","1","0","0","1","7","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","2","5","0","2","1","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","3","5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AN"
"1","1","5","1","2","1","3","1","1","2","1","0","0","1","1","0","1","1","1","0","1","0","0","1","0","8","0","1","2","1","1","3","1","1","2","0","1","0","4","0","1","5","5","2","0","2","0","0","0","0","0","0","1","1","0","0","1","7","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","2","5","0","2","1","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","3","5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AN"
"1","1","1","2","3","1","2","2","4","2","1","1","1","1","1","1","1","3","1","2","1","2","1","2","2","7","2","1","2","1","1","2","2","1","2","1","1","2","1","1","1","1","0","1","0","2","1","0","0","0","1","0","3","1","0","1","0","0","1","1","0","1","2","0","0","0","0","1","1","1","1","0","1","2","1","0","2","2","1","0","2","1","1","1","3","1","0","4","2","0","1","0","1","0","0","0","1","0","1","0","2","1","1","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","1","2","0","0","0","6","9","0","1","3","1","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","4","0","0","0","0","0","0","1","0","1","0","1","0","0","2","0","0","1","0","0","0","2","0","0","0","0","3","0","2","1","1","11","3","0","0","0","0","0","0","1","2","0","1","0","0","0","3","3","0","0","2","0","0","0","0","0","1","3","2","0","0","0","0","0","0","0","AN"
"1","1","1","2","3","1","2","2","4","2","1","1","1","1","1","1","1","3","1","2","1","2","1","2","2","7","2","1","2","1","1","2","2","1","2","1","1","2","1","1","1","1","0","1","0","2","1","0","0","0","1","0","3","1","0","1","0","0","1","1","0","1","2","0","0","0","0","1","1","1","1","0","1","2","1","0","2","2","1","0","2","1","1","1","3","1","0","4","2","0","1","0","1","0","0","0","1","0","1","0","2","1","1","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","1","2","0","0","0","6","9","0","1","3","1","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","4","0","0","0","0","0","0","1","0","1","0","1","0","0","2","0","0","1","0","0","0","2","0","0","0","0","3","0","2","1","1","11","3","0","0","0","0","0","0","1","2","0","1","0","0","0","3","3","0","0","2","0","0","0","0","0","1","3","2","0","0","0","0","0","0","0","AN"
"1","1","1","2","3","1","2","2","4","2","1","1","1","1","1","1","1","3","1","2","1","2","1","2","2","7","2","1","2","1","1","2","2","1","2","1","1","2","1","1","1","1","0","1","0","2","1","0","0","0","1","0","3","1","0","1","0","0","1","1","0","1","2","0","0","0","0","1","1","1","1","0","1","2","1","0","2","2","1","0","2","1","1","1","3","1","0","4","2","0","1","0","1","0","0","0","1","0","1","0","2","1","2","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","1","2","0","0","0","6","9","0","1","3","1","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","4","0","0","0","0","0","0","1","0","1","0","1","0","0","2","0","0","1","0","0","0","2","0","0","0","0","3","0","2","1","1","11","3","0","0","0","0","0","0","1","2","0","1","0","0","0","3","3","0","0","2","0","0","0","0","0","1","3","2","0","0","0","0","0","0","0","AN"
"1","1","1","2","3","2","2","2","3","3","1","1","1","1","1","1","1","2","1","2","1","2","1","2","2","7","2","1","2","1","1","2","2","1","2","1","1","2","1","1","1","1","0","1","0","2","1","0","0","0","1","0","3","1","0","1","0","0","2","1","0","1","1","0","0","0","0","1","1","1","1","0","1","2","1","0","2","1","1","0","2","1","1","1","3","1","0","4","2","0","1","0","1","0","0","0","1","0","1","0","2","1","2","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","1","2","0","2","0","7","10","0","1","3","1","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","3","0","0","0","0","0","0","1","0","1","0","1","0","0","2","0","0","1","0","0","0","2","0","0","0","0","3","0","2","1","1","11","3","0","0","0","0","0","0","1","2","0","1","0","0","0","3","3","0","0","2","0","0","0","0","0","1","3","2","0","0","0","0","0","0","0","AN"
